0x132655a	0x18f6528	"aStage804"	0x1988e38	5872	0	0	0	0x13872e0	0x1554198
0x13265b7	0x18f6548	"cConsumeDLC"	0x1872c14	88	0	0	0	0x13872f0	0x15541fc
0x13265f7	0x18f65d0	"cDDFCurve"	0x1872c14	24	0	0	0	0x1387300	0x15542dc
0x1326637	0x18f6590	"cDDFCurve::cDDFCurveContext"	0x1872c14	16	0	0	0	0x1387310	0x15542fc
0x1326677	0x18f65b0	"cDDFCurve::cDDFCurveContextF32"	0x18f6590	24	0	0	0	0x1387320	0x155431c
0x13266b7	0x18f6570	"cDDFCurve::cDDFCurveContextVector4"	0x18f6590	48	0	0	0	0x1387330	0x155433c
0x1326757	0x18f6608	"cNextCarcassInfo"	0x1872c14	80	0	0	0	0x1387340	0x15543c4
0x1326797	0x18f6628	"cNextMimicBoxInfo"	0x1872c14	48	0	0	0	0x1387350	0x15543f4
0x13267d7	0x18f6648	"cCarcassTypeInfo"	0x1872c14	12	0	0	0	0x1387360	0x1554578
0x1326817	0x18f6668	"cExtGroupSetCondition"	0x1872c14	28	0	0	0	0x1387370	0x1554594
0x132685a	0x18f6688	"cNextSetProperty"	0x1872c14	1036	0	0	0	0x1387380	0x15545b0
0x13268b7	0x18f66d0	"cNextStageInfo::cExtInfo"	0x1872c14	12	0	0	0	0x1387390	0x155465c
0x13268fa	0x18f66b0	"cNextStageInfo"	0x1872c14	3040	0	0	0	0x13873a0	0x1554640
0x132695a	0x18f66f8	"cSetInfoEnemy0103"	0x198f5b0	288	0	0	0	0x13873b0	0x1554704
0x13269ba	0x18f6718	"cSetInfoEnemy5001"	0x198f5b0	320	0	0	0	0x13873c0	0x15547a4
0x1326a1a	0x18f6768	"cSetInfoEnemy5400"	0x198f5b0	272	0	0	0	0x13873d0	0x1554818
0x1326a5a	0x18f6748	"cSetInfoEnemy5401"	0x18f6768	272	0	0	0	0x13873e0	0x155485c
0x1326aba	0x18f6790	"cSetInfoEnemy7000"	0x198f5b0	288	0	0	0	0x13873f0	0x15548c8
0x1326b1a	0x18f67b0	"cSetInfoEnemy7001"	0x198f5b0	272	0	0	0	0x1387400	0x1554928
0x1326b7a	0x18f67d8	"cSetInfoEnemy7002"	0x198f5b0	272	0	0	0	0x1387410	0x1554988
0x1326bda	0x18f6808	"cSetInfoEnemy9100"	0x198f5b0	272	0	0	0	0x1387420	0x15549e8
0x1326c5a	0x18f6838	"sQlocInput"	0x18ccf34	11048	0	0	0	0x1387430	0x155558c
0x1326c9a	0x18f6858	"sQlocInput::cPadInfo"	0x1872c14	744	0	0	0	0x1387440	0x15555b4
0x1326cd7	0x18f6898	"cDDFCurveKey"	0x1872c14	12	0	0	0	0x1387450	0x1555628
0x1326d17	0x18f68d8	"cDDFCurveKeyVector4"	0x1872c14	32	0	0	0	0x1387460	0x1555644
0x1326d57	0x18f6878	"rDDFCurve"	0x19a54d4	120	0	0	0	0x1387470	0x1555698
0x1326d97	0x18f68b8	"rDDFCurveVector4"	0x19a54d4	120	0	0	0	0x1387480	0x15556e8
0x1326dd7	0x18f68f8	"rItemCurseCnv"	0x18ccbe0	104	0	0	0	0x1387490	0x15557a0
0x1326e17	0x18f6918	"rItemCurseCnv::cParam"	0x1872c14	92	0	0	0	0x13874a0	0x1555798
0x1326e77	0x18f6960	"rItemRandParam::cParam"	0x1872c14	36	0	0	0	0x13874b0	0x1555834
0x1326eb7	0x18f6940	"rItemRandParam"	0x18ccbe0	104	0	0	0	0x13874c0	0x155583c
0x1326f1a	0x18f6988	"nGameSys::QuestLog"	0x1872c14	344	0	0	0	0x13874d0	0x15558bc
0x1326f8a	0x18f69b0	"nSaveStream::CompressStreamZLib"	0x18cc194	131140	0	0	0	0x13874e0	0x1555a64
0x1326fca	0x19469d8	"nSaveStream::DecompressStreamZLib"	0x18cc194	131184	0	0	0	0x13874f0	0x1555ac4
0x132702a	0x1986ac0	"sAICharacterInfo"	0x18ccb14	544	0	0	0	0x1387500	0x1555b04
0x1327087	0x1986b08	"sAICtrlManager::cRequestInfo"	0x18cd104	12	0	0	0	0x1387510	0x1555b74
